issue_id,report_id,issue_date,issue_type,severity,source_system,assigned_analyst_id,resolution_hours,issue_status,root_cause
DQI00276,RPT0062,2025-01-02,Null Values,Medium,Data Warehouse,A014,80,Resolved,Source System
DQI00277,RPT0118,2026-02-20,Null Values,Medium,Data Warehouse,A017,3,Open,Unknown
DQI00278,RPT0002,2025-10-30,Incorrect Values,High,Risk System,A004,116,Open,Mapping Issue
DQI00279,RPT0018,2026-02-09,Data Mismatch,Medium,CRM,A020,51,Under Investigation,Unknown
DQI00280,RPT0108,2026-07-11,Invalid Format,Medium,Data Warehouse,A011,42,Under Investigation,Transformation Logic
DQI00281,RPT0110,2026-08-11,Incorrect Values,Low,Core Banking,A005,86,Open,Data Entry
DQI00282,RPT0059,2025-12-09,Data Mismatch,Medium,ERP,A020,53,Resolved,Database Issue
DQI00283,RPT0018,2026-04-23,Data Mismatch,Medium,HR System,A014,22,Open,Database Issue
DQI00284,RPT0004,2025-05-24,Data Mismatch,Low,CRM,A011,87,Open,Source System
DQI00285,RPT0092,2025-02-09,Duplicate Records,Low,ERP,A018,58,Open,Unknown
DQI00286,RPT0079,2026-01-18,Duplicate Records,Medium,ERP,A007,32,Under Investigation,Unknown
DQI00287,RPT0018,2025-11-20,Delayed Data,High,ERP,A012,51,Under Investigation,Data Entry
DQI00288,RPT0054,2026-05-14,Delayed Data,Medium,ERP,A019,96,Open,Mapping Issue
DQI00289,RPT0047,2025-01-03,Missing Data,Critical,Data Warehouse,A012,31,Open,Data Entry
DQI00290,RPT0117,2025-06-09,Missing Data,Medium,Core Banking,A007,73,Open,Unknown
DQI00291,RPT0107,2025-04-15,Invalid Format,High,Risk System,A019,41,Resolved,Mapping Issue
DQI00292,RPT0047,2026-03-13,Duplicate Records,Low,CRM,A021,82,Open,Source System
DQI00293,RPT0106,2026-02-05,Missing Data,Low,Data Warehouse,A014,21,Open,Mapping Issue
DQI00294,RPT0103,2025-04-05,Missing Data,Medium,Data Warehouse,A003,76,Open,Database Issue
DQI00295,RPT0110,2024-11-26,Delayed Data,High,CRM,A001,118,Resolved,Database Issue
DQI00296,RPT0107,2025-01-05,Data Mismatch,Low,HR System,A019,47,Open,Data Entry
DQI00297,RPT0032,2026-03-09,Incorrect Values,Low,CRM,A002,94,Resolved,Mapping Issue
DQI00298,RPT0110,2024-08-21,Null Values,High,Data Warehouse,A005,36,Under Investigation,Unknown
DQI00299,RPT0111,2026-02-16,Invalid Format,High,Risk System,A021,40,Under Investigation,Transformation Logic
DQI00300,RPT0083,2025-11-07,Missing Data,High,Core Banking,A006,118,Under Investigation,Transformation Logic
DQI00301,RPT0074,2025-06-20,Invalid Format,Low,Client Database,A015,72,Under Investigation,Transformation Logic
DQI00302,RPT0021,2026-06-11,Null Values,Low,CRM,A014,27,Open,Data Entry
DQI00303,RPT0114,2026-04-10,Data Mismatch,High,CRM,A002,74,Under Investigation,Mapping Issue
DQI00304,RPT0086,2025-11-03,Delayed Data,Low,Data Warehouse,A025,88,Resolved,Source System
DQI00305,RPT0086,2024-09-14,Missing Data,High,Core Banking,A001,29,Under Investigation,Transformation Logic
DQI00306,RPT0035,2025-01-08,Missing Data,Medium,ERP,A005,54,Open,Mapping Issue
DQI00307,RPT0040,2025-11-30,Incorrect Values,High,Risk System,A019,33,Under Investigation,Data Entry
DQI00308,RPT0018,2025-04-24,Data Mismatch,High,Data Warehouse,A022,45,Under Investigation,Data Entry
DQI00309,RPT0037,2026-08-05,Incorrect Values,Low,Data Warehouse,A016,26,Under Investigation,Data Entry
DQI00310,RPT0021,2026-05-10,Data Mismatch,Low,Client Database,A012,3,Under Investigation,Database Issue
DQI00311,RPT0108,2025-12-07,Duplicate Records,High,Client Database,A018,93,Under Investigation,Mapping Issue
DQI00312,RPT0116,2025-02-07,Delayed Data,Low,Client Database,A016,83,Open,Database Issue
DQI00313,RPT0034,2025-12-29,Duplicate Records,High,HR System,A003,9,Under Investigation,Data Entry
DQI00314,RPT0068,2025-11-02,Duplicate Records,High,HR System,A006,103,Resolved,Source System
DQI00315,RPT0119,2024-11-08,Missing Data,High,Core Banking,A024,53,Resolved,Source System
DQI00316,RPT0018,2026-08-17,Duplicate Records,High,Client Database,A016,82,Open,Unknown
DQI00317,RPT0037,2025-09-09,Invalid Format,Low,ERP,A008,101,Under Investigation,Transformation Logic
DQI00318,RPT0087,2024-12-07,Incorrect Values,Medium,Data Warehouse,A017,46,Open,Mapping Issue
DQI00319,RPT0113,2025-05-04,Invalid Format,Medium,HR System,A002,38,Open,Mapping Issue
DQI00320,RPT0082,2026-03-21,Duplicate Records,High,HR System,A025,35,Open,Unknown
DQI00321,RPT0020,2024-10-19,Delayed Data,Low,Risk System,A024,63,Under Investigation,Transformation Logic
DQI00322,RPT0073,2025-02-20,Incorrect Values,Medium,Risk System,A001,15,Open,Mapping Issue
DQI00323,RPT0112,2025-05-16,Null Values,Medium,CRM,A001,86,Resolved,Database Issue
DQI00324,RPT0038,2025-04-25,Delayed Data,Medium,ERP,A020,39,Under Investigation,Transformation Logic
DQI00325,RPT0049,2024-12-28,Duplicate Records,Medium,HR System,A009,10,Resolved,Source System
DQI00326,RPT0046,2025-12-27,Duplicate Records,Low,Client Database,A012,56,Under Investigation,Mapping Issue
DQI00327,RPT0111,2026-07-08,Missing Data,Critical,Risk System,A006,119,Open,Database Issue
DQI00328,RPT0083,2024-10-27,Missing Data,Medium,Core Banking,A016,45,Under Investigation,Database Issue
DQI00329,RPT0109,2026-05-20,Incorrect Values,Medium,Risk System,A017,100,Under Investigation,Data Entry
DQI00330,RPT0115,2026-02-21,Invalid Format,Low,Data Warehouse,A012,46,Resolved,Unknown
DQI00331,RPT0037,2026-01-22,Null Values,Low,ERP,A009,30,Open,Source System
DQI00332,RPT0004,2025-12-29,Data Mismatch,Medium,Client Database,A025,90,Resolved,Mapping Issue
DQI00333,RPT0094,2026-03-09,Duplicate Records,High,ERP,A019,11,Open,Database Issue
DQI00334,RPT0120,2026-07-09,Duplicate Records,Medium,Data Warehouse,A018,43,Under Investigation,Unknown
DQI00335,RPT0080,2025-05-07,Null Values,High,CRM,A024,43,Open,Transformation Logic
DQI00336,RPT0016,2025-08-01,Invalid Format,Critical,ERP,A017,108,Resolved,Source System
DQI00337,RPT0024,2024-08-28,Null Values,Medium,Data Warehouse,A010,11,Under Investigation,Transformation Logic
DQI00338,RPT0011,2025-03-13,Invalid Format,Low,Core Banking,A009,67,Open,Mapping Issue
DQI00339,RPT0028,2025-01-29,Delayed Data,Critical,Risk System,A015,76,Under Investigation,Mapping Issue
DQI00340,RPT0110,2025-03-01,Missing Data,Low,CRM,A015,49,Resolved,Database Issue
DQI00341,RPT0003,2026-02-09,Invalid Format,Medium,HR System,A013,94,Resolved,Mapping Issue
DQI00342,RPT0052,2024-10-11,Duplicate Records,Medium,ERP,A009,58,Under Investigation,Unknown
DQI00343,RPT0055,2025-05-19,Duplicate Records,High,Core Banking,A015,18,Resolved,Source System
DQI00344,RPT0068,2025-03-07,Data Mismatch,Critical,CRM,A009,79,Under Investigation,Mapping Issue
DQI00345,RPT0102,2026-04-23,Delayed Data,Low,HR System,A021,81,Resolved,Mapping Issue
DQI00346,RPT0064,2024-11-11,Delayed Data,Medium,HR System,A011,65,Resolved,Unknown
DQI00347,RPT0076,2026-03-02,Duplicate Records,Critical,Client Database,A014,81,Resolved,Mapping Issue
DQI00348,RPT0067,2024-08-20,Missing Data,Medium,Core Banking,A012,105,Open,Data Entry
DQI00349,RPT0076,2024-09-26,Invalid Format,Low,Client Database,A022,105,Resolved,Database Issue
DQI00350,RPT0114,2025-06-15,Data Mismatch,High,Client Database,A005,93,Under Investigation,Transformation Logic
DQI00351,RPT0078,2025-07-26,Duplicate Records,Medium,CRM,A004,97,Open,Data Entry
DQI00352,RPT0074,2026-03-12,Delayed Data,Low,Core Banking,A006,94,Open,Data Entry
DQI00353,RPT0107,2025-07-11,Null Values,Medium,HR System,A016,71,Resolved,Data Entry
DQI00354,RPT0025,2024-12-27,Invalid Format,Medium,ERP,A003,30,Under Investigation,Mapping Issue
DQI00355,RPT0010,2026-07-08,Null Values,Medium,Risk System,A022,31,Resolved,Unknown
DQI00356,RPT0115,2025-07-07,Data Mismatch,Low,Data Warehouse,A003,44,Under Investigation,Mapping Issue
DQI00357,RPT0049,2025-09-06,Null Values,Medium,Core Banking,A021,61,Resolved,Transformation Logic
DQI00358,RPT0003,2026-07-05,Missing Data,Low,Risk System,A002,104,Resolved,Mapping Issue
DQI00359,RPT0079,2025-06-10,Incorrect Values,Medium,Risk System,A019,86,Open,Database Issue
DQI00360,RPT0113,2025-05-19,Null Values,Medium,Data Warehouse,A002,113,Resolved,Data Entry
DQI00361,RPT0030,2025-10-18,Duplicate Records,Low,Client Database,A021,43,Resolved,Unknown
DQI00362,RPT0079,2025-06-07,Duplicate Records,High,HR System,A001,14,Open,Transformation Logic
DQI00363,RPT0050,2024-11-06,Null Values,High,Client Database,A007,116,Resolved,Unknown
DQI00364,RPT0117,2026-05-25,Invalid Format,Medium,Risk System,A022,75,Resolved,Unknown
DQI00365,RPT0087,2025-08-27,Data Mismatch,High,Risk System,A013,38,Resolved,Transformation Logic
DQI00366,RPT0079,2026-04-24,Delayed Data,Medium,Data Warehouse,A011,88,Resolved,Source System
DQI00367,RPT0086,2026-06-22,Incorrect Values,Low,Core Banking,A025,22,Resolved,Database Issue
DQI00368,RPT0004,2025-11-11,Null Values,Medium,Data Warehouse,A011,86,Open,Database Issue
DQI00369,RPT0111,2026-01-07,Missing Data,Low,HR System,A010,41,Open,Unknown
DQI00370,RPT0103,2026-03-31,Null Values,Medium,CRM,A019,102,Under Investigation,Database Issue
DQI00371,RPT0087,2026-02-04,Incorrect Values,Medium,Client Database,A025,42,Under Investigation,Mapping Issue
DQI00372,RPT0026,2025-02-11,Incorrect Values,Low,Client Database,A009,87,Resolved,Database Issue
DQI00373,RPT0019,2024-12-24,Invalid Format,High,Risk System,A016,108,Open,Unknown
DQI00374,RPT0110,2025-08-05,Incorrect Values,Low,ERP,A022,59,Under Investigation,Mapping Issue
DQI00375,RPT0057,2024-10-16,Missing Data,Medium,CRM,A011,84,Under Investigation,Source System
DQI00376,RPT0012,2026-05-02,Duplicate Records,High,HR System,A004,46,Resolved,Transformation Logic
DQI00377,RPT0058,2026-06-07,Delayed Data,Low,ERP,A001,57,Open,Data Entry
DQI00378,RPT0107,2024-09-14,Incorrect Values,Medium,HR System,A012,37,Open,Mapping Issue
DQI00379,RPT0053,2025-04-06,Missing Data,Critical,Risk System,A013,81,Under Investigation,Mapping Issue
DQI00380,RPT0012,2024-09-04,Null Values,Medium,HR System,A011,3,Resolved,Unknown
DQI00381,RPT0099,2025-04-24,Incorrect Values,Low,CRM,A001,2,Resolved,Mapping Issue
DQI00382,RPT0049,2025-03-10,Incorrect Values,Medium,HR System,A010,60,Open,Data Entry
DQI00383,RPT0099,2024-11-09,Invalid Format,Medium,Risk System,A013,110,Open,Unknown
DQI00384,RPT0018,2024-10-16,Duplicate Records,Medium,Client Database,A021,94,Open,Mapping Issue
DQI00385,RPT0008,2025-05-12,Missing Data,Critical,Core Banking,A001,99,Open,Database Issue
DQI00386,RPT0097,2024-12-30,Missing Data,Low,Risk System,A024,103,Resolved,Transformation Logic
DQI00387,RPT0039,2026-07-10,Delayed Data,Low,Risk System,A014,102,Under Investigation,Transformation Logic
DQI00388,RPT0082,2025-06-07,Invalid Format,Low,CRM,A014,64,Resolved,Mapping Issue
DQI00389,RPT0109,2024-12-22,Incorrect Values,Critical,Risk System,A015,30,Resolved,Source System
DQI00390,RPT0112,2026-03-11,Null Values,Low,Core Banking,A006,114,Under Investigation,Database Issue
DQI00391,RPT0068,2024-10-17,Data Mismatch,Low,CRM,A021,92,Open,Transformation Logic
DQI00392,RPT0103,2025-10-18,Missing Data,Medium,HR System,A013,75,Resolved,Data Entry
DQI00393,RPT0110,2026-07-18,Data Mismatch,High,Risk System,A002,16,Open,Mapping Issue
DQI00394,RPT0029,2024-10-31,Delayed Data,Low,Data Warehouse,A015,8,Resolved,Data Entry
DQI00395,RPT0016,2025-05-09,Incorrect Values,Medium,Data Warehouse,A022,17,Under Investigation,Unknown
DQI00396,RPT0078,2025-11-24,Data Mismatch,High,Data Warehouse,A022,58,Resolved,Source System
DQI00397,RPT0057,2025-12-09,Incorrect Values,Medium,CRM,A019,54,Under Investigation,Mapping Issue
DQI00398,RPT0035,2026-07-14,Delayed Data,Medium,Client Database,A014,61,Resolved,Transformation Logic
DQI00399,RPT0029,2025-08-29,Null Values,Low,CRM,A017,67,Under Investigation,Mapping Issue
DQI00400,RPT0061,2026-02-18,Incorrect Values,Medium,Data Warehouse,A019,93,Under Investigation,Database Issue
DQI00401,RPT0100,2024-09-13,Duplicate Records,High,ERP,A015,34,Open,Database Issue
DQI00402,RPT0051,2025-07-21,Delayed Data,Medium,Client Database,A022,96,Open,Transformation Logic
DQI00403,RPT0065,2026-01-09,Incorrect Values,Medium,ERP,A023,119,Resolved,Source System
DQI00404,RPT0092,2024-12-26,Missing Data,High,Data Warehouse,A003,74,Open,Data Entry
DQI00405,RPT0046,2025-12-04,Incorrect Values,Medium,CRM,A004,77,Resolved,Transformation Logic
DQI00406,RPT0094,2026-07-12,Null Values,Medium,HR System,A003,21,Resolved,Data Entry
DQI00407,RPT0067,2025-07-23,Null Values,Medium,CRM,A009,95,Resolved,Database Issue
DQI00408,RPT0038,2024-12-20,Delayed Data,Low,Risk System,A013,25,Open,Database Issue
DQI00409,RPT0104,2024-09-30,Null Values,Medium,Risk System,A004,103,Under Investigation,Transformation Logic
DQI00410,RPT0042,2024-11-06,Data Mismatch,Medium,CRM,A019,103,Open,Unknown
DQI00411,RPT0101,2025-05-04,Invalid Format,Medium,ERP,A022,105,Resolved,Data Entry
DQI00412,RPT0031,2025-01-26,Data Mismatch,High,Data Warehouse,A018,83,Resolved,Transformation Logic
DQI00413,RPT0079,2025-01-14,Invalid Format,Low,CRM,A012,108,Resolved,Database Issue
DQI00414,RPT0049,2025-07-03,Invalid Format,Medium,Risk System,A019,32,Resolved,Source System
DQI00415,RPT0007,2026-02-12,Data Mismatch,Low,Core Banking,A014,78,Under Investigation,Data Entry
DQI00416,RPT0099,2025-10-24,Incorrect Values,Low,Core Banking,A022,9,Under Investigation,Source System
DQI00417,RPT0029,2026-03-03,Delayed Data,Low,Client Database,A009,99,Resolved,Mapping Issue
DQI00418,RPT0091,2026-08-08,Missing Data,Medium,HR System,A003,112,Under Investigation,Unknown
DQI00419,RPT0069,2026-03-09,Null Values,Low,Client Database,A002,109,Resolved,Database Issue
DQI00420,RPT0007,2025-10-13,Data Mismatch,Medium,HR System,A014,88,Under Investigation,Source System
DQI00421,RPT0040,2025-03-14,Null Values,High,Risk System,A003,39,Open,Unknown
DQI00422,RPT0013,2026-01-15,Invalid Format,Medium,CRM,A016,51,Open,Unknown
DQI00423,RPT0021,2025-03-26,Delayed Data,Low,CRM,A014,37,Open,Source System
DQI00424,RPT0095,2025-04-07,Missing Data,Medium,Client Database,A024,45,Open,Database Issue
DQI00425,RPT0033,2025-02-20,Invalid Format,Low,Client Database,A021,3,Open,Mapping Issue
DQI00426,RPT0042,2024-11-02,Delayed Data,Medium,HR System,A016,91,Resolved,Data Entry
DQI00427,RPT0008,2024-09-27,Missing Data,Critical,ERP,A003,31,Open,Source System
DQI00428,RPT0053,2025-06-21,Delayed Data,Medium,CRM,A015,112,Open,Database Issue
DQI00429,RPT0099,2025-11-07,Data Mismatch,Medium,ERP,A022,24,Open,Database Issue
DQI00430,RPT0034,2025-10-20,Data Mismatch,Low,HR System,A004,55,Under Investigation,Data Entry
DQI00431,RPT0111,2026-06-03,Null Values,Medium,Client Database,A007,46,Resolved,Data Entry
DQI00432,RPT0011,2025-09-05,Delayed Data,Low,CRM,A005,6,Open,Transformation Logic
DQI00433,RPT0018,2024-12-17,Delayed Data,Low,ERP,A015,108,Open,Unknown
DQI00434,RPT0042,2024-10-01,Missing Data,High,Client Database,A010,70,Under Investigation,Transformation Logic
DQI00435,RPT0079,2025-05-27,Duplicate Records,Medium,HR System,A024,32,Open,Unknown
DQI00436,RPT0036,2024-08-22,Duplicate Records,Medium,Core Banking,A018,90,Resolved,Source System
DQI00437,RPT0016,2025-07-18,Invalid Format,Low,CRM,A011,2,Under Investigation,Data Entry
DQI00438,RPT0100,2024-10-27,Delayed Data,Medium,CRM,A022,37,Open,Source System
DQI00439,RPT0115,2025-04-05,Delayed Data,Low,Core Banking,A012,99,Resolved,Transformation Logic
DQI00440,RPT0047,2026-05-21,Duplicate Records,High,CRM,A017,62,Resolved,Database Issue
DQI00441,RPT0041,2026-01-16,Missing Data,Medium,ERP,A011,61,Resolved,Unknown
DQI00442,RPT0036,2025-12-18,Duplicate Records,Critical,ERP,A009,20,Under Investigation,Transformation Logic
DQI00443,RPT0045,2025-11-29,Duplicate Records,Low,Risk System,A024,74,Open,Database Issue
DQI00444,RPT0022,2025-08-28,Incorrect Values,High,Client Database,A001,57,Open,Transformation Logic
DQI00445,RPT0002,2025-01-22,Incorrect Values,High,Data Warehouse,A023,4,Open,Unknown
DQI00446,RPT0067,2024-11-03,Incorrect Values,Low,CRM,A010,94,Under Investigation,Transformation Logic
DQI00447,RPT0061,2024-09-08,Incorrect Values,Medium,Risk System,A022,7,Under Investigation,Transformation Logic
DQI00448,RPT0095,2025-01-27,Duplicate Records,Medium,Core Banking,A017,48,Open,Unknown
DQI00449,RPT0094,2024-12-30,Duplicate Records,Low,HR System,A015,113,Resolved,Mapping Issue
DQI00450,RPT0082,2025-12-28,Duplicate Records,High,Core Banking,A017,82,Open,Unknown
DQI00451,RPT0008,2025-04-03,Missing Data,Low,Core Banking,A012,69,Under Investigation,Transformation Logic
DQI00452,RPT0019,2024-10-22,Duplicate Records,High,Risk System,A007,55,Under Investigation,Unknown
DQI00453,RPT0048,2025-08-22,Data Mismatch,Low,Risk System,A001,60,Resolved,Source System
DQI00454,RPT0082,2026-06-06,Null Values,Medium,Data Warehouse,A024,19,Resolved,Transformation Logic
DQI00455,RPT0107,2024-11-17,Null Values,High,Risk System,A010,14,Open,Mapping Issue
DQI00456,RPT0109,2025-04-16,Null Values,High,HR System,A018,50,Under Investigation,Unknown
DQI00457,RPT0063,2026-04-21,Duplicate Records,Medium,CRM,A008,96,Open,Database Issue
DQI00458,RPT0068,2025-06-24,Data Mismatch,Medium,CRM,A023,3,Open,Transformation Logic
DQI00459,RPT0071,2025-08-20,Delayed Data,Medium,HR System,A003,76,Resolved,Unknown
DQI00460,RPT0029,2025-09-03,Null Values,Low,HR System,A020,101,Open,Data Entry
DQI00461,RPT0109,2026-07-16,Invalid Format,Medium,ERP,A025,48,Under Investigation,Mapping Issue
DQI00462,RPT0104,2026-01-15,Data Mismatch,High,Core Banking,A011,36,Resolved,Transformation Logic
DQI00463,RPT0022,2025-03-13,Data Mismatch,Medium,ERP,A001,21,Under Investigation,Unknown
DQI00464,RPT0053,2024-10-29,Incorrect Values,Low,Risk System,A009,100,Under Investigation,Data Entry
DQI00465,RPT0073,2025-12-31,Duplicate Records,High,HR System,A024,77,Open,Source System
DQI00466,RPT0010,2025-10-16,Missing Data,Low,Client Database,A022,59,Open,Source System
DQI00467,RPT0076,2025-06-17,Data Mismatch,High,Risk System,A021,74,Resolved,Database Issue
DQI00468,RPT0005,2025-01-10,Incorrect Values,Medium,Data Warehouse,A022,11,Under Investigation,Transformation Logic
DQI00469,RPT0019,2025-06-04,Duplicate Records,Medium,CRM,A013,80,Resolved,Database Issue
DQI00470,RPT0002,2026-07-08,Invalid Format,Medium,Core Banking,A023,50,Resolved,Mapping Issue
DQI00471,RPT0102,2025-06-12,Invalid Format,Medium,Risk System,A004,65,Resolved,Transformation Logic
DQI00472,RPT0002,2025-06-02,Duplicate Records,Medium,Core Banking,A013,83,Under Investigation,Data Entry
DQI00473,RPT0054,2025-01-11,Invalid Format,Medium,ERP,A011,98,Under Investigation,Source System
DQI00474,RPT0039,2025-08-01,Data Mismatch,Medium,CRM,A005,80,Resolved,Data Entry
DQI00475,RPT0079,2024-09-23,Delayed Data,Low,Client Database,A022,71,Resolved,Unknown
DQI00476,RPT0066,2025-03-12,Delayed Data,Critical,Risk System,A025,115,Under Investigation,Mapping Issue
DQI00477,RPT0012,2025-07-27,Delayed Data,High,CRM,A015,10,Resolved,Data Entry
DQI00478,RPT0027,2025-08-16,Duplicate Records,Medium,HR System,A013,119,Resolved,Transformation Logic
DQI00479,RPT0004,2025-03-12,Data Mismatch,High,Client Database,A021,67,Open,Database Issue
DQI00480,RPT0101,2025-02-11,Incorrect Values,Medium,Risk System,A009,35,Resolved,Mapping Issue
DQI00481,RPT0026,2026-06-01,Missing Data,Low,ERP,A014,109,Under Investigation,Unknown
DQI00482,RPT0054,2025-03-16,Data Mismatch,Medium,ERP,A018,111,Resolved,Source System
DQI00483,RPT0119,2025-11-01,Missing Data,Medium,Client Database,A002,89,Open,Transformation Logic
DQI00484,RPT0031,2024-10-06,Incorrect Values,Medium,CRM,A025,91,Under Investigation,Mapping Issue
DQI00485,RPT0099,2024-12-15,Data Mismatch,Medium,Data Warehouse,A017,44,Under Investigation,Data Entry
DQI00486,RPT0072,2026-03-27,Delayed Data,Low,Risk System,A002,17,Resolved,Database Issue
DQI00487,RPT0060,2026-02-11,Data Mismatch,High,ERP,A020,37,Resolved,Unknown
DQI00488,RPT0016,2026-01-20,Duplicate Records,Critical,ERP,A013,15,Open,Database Issue
DQI00489,RPT0001,2024-11-03,Incorrect Values,Medium,ERP,A002,51,Resolved,Unknown
DQI00490,RPT0063,2024-10-25,Duplicate Records,Low,Client Database,A004,11,Open,Source System
DQI00491,RPT0112,2026-01-20,Invalid Format,Low,ERP,A016,33,Open,Database Issue
DQI00492,RPT0011,2025-05-14,Missing Data,Medium,Client Database,A011,113,Under Investigation,Transformation Logic
DQI00493,RPT0110,2026-05-09,Duplicate Records,Low,Core Banking,A004,5,Open,Data Entry
DQI00494,RPT0113,2025-10-14,Data Mismatch,Low,Data Warehouse,A003,23,Under Investigation,Database Issue
DQI00495,RPT0029,2025-07-07,Delayed Data,Low,CRM,A002,46,Resolved,Source System
DQI00496,RPT0024,2026-03-30,Invalid Format,Medium,Risk System,A011,109,Resolved,Transformation Logic
DQI00497,RPT0020,2025-11-21,Invalid Format,Medium,ERP,A018,23,Under Investigation,Source System
DQI00498,RPT0005,2025-02-12,Invalid Format,Low,ERP,A001,59,Under Investigation,Unknown
DQI00499,RPT0107,2025-10-23,Null Values,High,Client Database,A010,13,Resolved,Source System
DQI00500,RPT0050,2024-10-06,Null Values,High,Client Database,A013,37,Resolved,Unknown
DQI00501,RPT0120,2026-06-04,Data Mismatch,Low,Data Warehouse,A016,6,Resolved,Mapping Issue
DQI00502,RPT0037,2025-06-16,Invalid Format,Low,Core Banking,A002,97,Under Investigation,Unknown
DQI00503,RPT0056,2026-05-17,Delayed Data,Medium,HR System,A007,2,Under Investigation,Unknown
DQI00504,RPT0031,2025-09-29,Incorrect Values,High,ERP,A012,31,Resolved,Source System
DQI00505,RPT0054,2025-07-11,Invalid Format,Critical,ERP,A011,25,Resolved,Source System
DQI00506,RPT0035,2025-10-09,Null Values,Low,Data Warehouse,A004,75,Open,Transformation Logic
DQI00507,RPT0010,2026-02-04,Incorrect Values,Low,Risk System,A024,87,Open,Source System
DQI00508,RPT0004,2026-06-24,Invalid Format,Low,Client Database,A013,18,Open,Transformation Logic
DQI00509,RPT0107,2026-08-17,Null Values,Low,Risk System,A005,77,Open,Source System
DQI00510,RPT0108,2025-08-23,Missing Data,Medium,ERP,A011,83,Under Investigation,Unknown
DQI00511,RPT0031,2025-11-07,Data Mismatch,Medium,ERP,A019,45,Resolved,Transformation Logic
DQI00512,RPT0067,2026-07-05,Duplicate Records,High,Core Banking,A016,86,Open,Transformation Logic
DQI00513,RPT0041,2025-02-19,Missing Data,Low,Risk System,A017,77,Resolved,Unknown
DQI00514,RPT0039,2025-08-24,Null Values,Low,CRM,A013,72,Resolved,Unknown
DQI00515,RPT0012,2025-04-09,Incorrect Values,Medium,HR System,A010,7,Open,Database Issue
DQI00516,RPT0051,2024-10-20,Missing Data,Low,Core Banking,A001,36,Resolved,Transformation Logic
DQI00517,RPT0116,2025-06-22,Null Values,Medium,Core Banking,A012,83,Under Investigation,Unknown
DQI00518,RPT0050,2026-07-22,Invalid Format,Medium,Risk System,A024,39,Open,Unknown
DQI00519,RPT0014,2026-06-14,Missing Data,Low,Risk System,A021,66,Under Investigation,Source System
DQI00520,RPT0013,2026-02-25,Duplicate Records,Low,Data Warehouse,A012,2,Resolved,Database Issue
DQI00521,RPT0052,2024-09-15,Delayed Data,Medium,HR System,A001,2,Under Investigation,Source System
DQI00522,RPT0005,2025-09-13,Null Values,High,Data Warehouse,A011,46,Resolved,Unknown
DQI00523,RPT0105,2025-11-06,Duplicate Records,Medium,Data Warehouse,A016,51,Under Investigation,Data Entry
DQI00524,RPT0013,2026-07-20,Incorrect Values,High,Data Warehouse,A021,53,Resolved,Unknown
DQI00525,RPT0066,2025-09-25,Invalid Format,Low,HR System,A010,118,Resolved,Unknown
DQI00526,RPT0055,2026-05-03,Data Mismatch,Medium,Client Database,A024,46,Under Investigation,Database Issue
DQI00527,RPT0101,2025-11-06,Invalid Format,High,ERP,A001,65,Resolved,Source System
DQI00528,RPT0011,2026-01-28,Delayed Data,Low,CRM,A008,64,Open,Unknown
DQI00529,RPT0049,2025-12-14,Incorrect Values,Low,Risk System,A010,64,Resolved,Data Entry
DQI00530,RPT0091,2024-12-12,Duplicate Records,Low,Risk System,A024,94,Open,Source System
DQI00531,RPT0038,2024-11-21,Delayed Data,Medium,Core Banking,A007,58,Resolved,Data Entry
DQI00532,RPT0002,2026-03-31,Incorrect Values,Medium,Client Database,A002,47,Resolved,Transformation Logic
DQI00533,RPT0093,2025-08-03,Missing Data,Medium,Client Database,A012,56,Open,Mapping Issue
DQI00534,RPT0117,2025-01-01,Incorrect Values,Low,Core Banking,A005,56,Open,Unknown
DQI00535,RPT0053,2024-12-27,Incorrect Values,Low,HR System,A003,28,Resolved,Database Issue
DQI00536,RPT0034,2025-01-31,Delayed Data,Low,Core Banking,A002,22,Under Investigation,Database Issue
DQI00537,RPT0086,2026-05-09,Invalid Format,Low,Core Banking,A015,57,Resolved,Transformation Logic
DQI00538,RPT0057,2025-01-16,Data Mismatch,High,Core Banking,A004,2,Open,Source System
DQI00539,RPT0023,2024-11-26,Missing Data,High,Core Banking,A006,23,Open,Data Entry
DQI00540,RPT0085,2024-09-22,Duplicate Records,High,CRM,A007,86,Open,Unknown
DQI00541,RPT0024,2025-07-14,Data Mismatch,Low,Client Database,A001,25,Under Investigation,Data Entry
DQI00542,RPT0048,2024-10-19,Missing Data,Low,Core Banking,A022,64,Resolved,Source System
DQI00543,RPT0005,2026-02-01,Data Mismatch,Medium,Core Banking,A025,80,Under Investigation,Data Entry
DQI00544,RPT0058,2025-07-24,Delayed Data,Medium,ERP,A020,16,Resolved,Transformation Logic
DQI00545,RPT0052,2025-01-23,Delayed Data,High,Client Database,A021,97,Resolved,Source System
DQI00546,RPT0070,2026-05-20,Null Values,High,ERP,A019,115,Open,Unknown
DQI00547,RPT0014,2025-12-20,Incorrect Values,Medium,ERP,A002,57,Open,Data Entry
DQI00548,RPT0108,2024-12-12,Invalid Format,Medium,Data Warehouse,A013,54,Open,Mapping Issue
DQI00549,RPT0022,2026-05-29,Incorrect Values,Medium,Core Banking,A002,50,Under Investigation,Data Entry
DQI00550,RPT0088,2025-11-25,Missing Data,High,CRM,A021,97,Open,Transformation Logic
DQI00551,RPT0075,2025-03-08,Null Values,High,Client Database,A005,75,Open,Mapping Issue
